epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
172,40950.3,0.87776,0.44123,0.09643,0.56598,0.4318,0.42754,0.23062,0.85945,0.47796,0.08547,0.000604763,0.000604763,0.000604763
173,41381.7,0.87217,0.44117,0.09791,0.5683,0.43293,0.42891,0.23165,0.85557,0.47953,0.08525,0.000571106,0.000571106,0.000571106
174,41813.3,0.87591,0.43983,0.09933,0.56995,0.43408,0.43075,0.23289,0.8514,0.48099,0.08505,0.000538554,0.000538554,0.000538554
175,42242.9,0.85821,0.44185,0.09592,0.56904,0.43611,0.43236,0.23434,0.84747,0.4821,0.08474,0.000507115,0.000507115,0.000507115
176,42669.5,0.8763,0.43847,0.10044,0.56993,0.43977,0.43415,0.23569,0.84379,0.48343,0.08454,0.000476796,0.000476796,0.000476796
177,43139.1,0.87457,0.43974,0.09979,0.57093,0.44011,0.43559,0.23697,0.84012,0.48464,0.08423,0.000447606,0.000447606,0.000447606
178,43626.6,0.85847,0.44127,0.09623,0.57192,0.44209,0.43725,0.23815,0.83689,0.48557,0.08397,0.000419552,0.000419552,0.000419552
179,44119.6,0.87329,0.43851,0.09801,0.57408,0.44171,0.43837,0.23929,0.83363,0.487,0.08364,0.00039264,0.00039264,0.00039264
180,44616.2,0.87233,0.43817,0.09939,0.57473,0.44292,0.43959,0.24047,0.83056,0.48799,0.0834,0.000366877,0.000366877,0.000366877
181,45096.7,0.84956,0.44263,0.09486,0.57531,0.44405,0.44037,0.24139,0.82774,0.48889,0.08315,0.00034227,0.00034227,0.00034227
182,45582.1,0.85946,0.44042,0.09866,0.57493,0.44501,0.44094,0.24175,0.82597,0.48971,0.08304,0.000318825,0.000318825,0.000318825
183,46082.2,0.85922,0.43952,0.09805,0.5744,0.44598,0.4421,0.24271,0.82347,0.49025,0.08274,0.000296546,0.000296546,0.000296546
184,46562.6,0.86781,0.43722,0.10163,0.57533,0.44757,0.44335,0.24381,0.82062,0.49124,0.08256,0.000275441,0.000275441,0.000275441
185,47034.7,0.85502,0.44129,0.09716,0.57593,0.44801,0.4442,0.24479,0.81839,0.49192,0.08236,0.000255513,0.000255513,0.000255513
186,47501.5,0.84741,0.44026,0.0941,0.57525,0.44874,0.44476,0.24543,0.81629,0.4927,0.08214,0.000236769,0.000236769,0.000236769
187,47980.5,0.85505,0.43959,0.0978,0.57621,0.44915,0.44556,0.24645,0.81434,0.49292,0.08205,0.000219212,0.000219212,0.000219212
188,48453,0.85662,0.4393,0.0984,0.57746,0.44972,0.44629,0.24738,0.8116,0.494,0.08185,0.000202847,0.000202847,0.000202847
189,48917.6,0.85939,0.44025,0.09858,0.57858,0.45038,0.44718,0.24799,0.80962,0.49444,0.08171,0.000187678,0.000187678,0.000187678
190,49368.1,0.85343,0.43809,0.09682,0.57775,0.4506,0.44761,0.24853,0.80771,0.49487,0.08147,0.000173709,0.000173709,0.000173709
191,49801.4,0.67089,0.47086,0.05517,0.57709,0.451,0.4472,0.24812,0.80828,0.4951,0.08147,0.000160943,0.000160943,0.000160943
192,50227.4,0.67466,0.46824,0.05562,0.57791,0.45196,0.44808,0.24898,0.80644,0.49544,0.08145,0.000149383,0.000149383,0.000149383
193,50634.9,0.67034,0.46897,0.05549,0.57891,0.45135,0.44847,0.24953,0.80473,0.49556,0.08118,0.000139032,0.000139032,0.000139032
194,51038.4,0.66727,0.46815,0.0558,0.58005,0.45161,0.44894,0.25012,0.80303,0.4961,0.08105,0.000129893,0.000129893,0.000129893
195,51441.4,0.66555,0.46759,0.05548,0.57913,0.45213,0.44974,0.25075,0.80201,0.4965,0.08098,0.000121968,0.000121968,0.000121968
196,51844.8,0.67052,0.46881,0.05535,0.57925,0.45293,0.44993,0.25108,0.80085,0.49664,0.08081,0.000115259,0.000115259,0.000115259
197,52253.4,0.66541,0.46811,0.05536,0.57954,0.45283,0.44987,0.25119,0.80016,0.49712,0.08072,0.000109768,0.000109768,0.000109768
198,52663.8,0.66797,0.46698,0.0556,0.58067,0.45251,0.4503,0.25152,0.79962,0.49725,0.08074,0.000105495,0.000105495,0.000105495
199,53069.3,0.66836,0.46764,0.056,0.58141,0.45251,0.45051,0.25192,0.79829,0.49769,0.08055,0.000102443,0.000102443,0.000102443
200,53472.1,0.66987,0.46693,0.05543,0.58095,0.45312,0.45113,0.25235,0.79712,0.49786,0.08034,0.000100611,0.000100611,0.000100611
