epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,17932.2,1.46622,0.30705,0.19762,0.48427,0.33608,0.32371,0.15357,1.09137,0.41608,0.1208,0.00900844,0.00900844,0.00900844
43,18356.6,1.45328,0.31133,0.18867,0.51011,0.35712,0.34904,0.16731,1.04153,0.43121,0.11765,0.00896127,0.00896127,0.00896127
44,18781.2,1.46101,0.30752,0.19423,0.5158,0.35362,0.34736,0.17067,1.04781,0.41948,0.12533,0.00891313,0.00891313,0.00891313
45,19206.3,1.44137,0.3129,0.18815,0.50359,0.36344,0.3567,0.18679,0.98552,0.44312,0.11148,0.00886404,0.00886404,0.00886404
46,19631.5,1.44172,0.316,0.18667,0.51508,0.33759,0.32886,0.15679,1.08658,0.40216,0.11882,0.00881401,0.00881401,0.00881401
47,20056.3,1.44253,0.31342,0.18645,0.51122,0.35523,0.34671,0.169,1.05837,0.41823,0.1161,0.00876305,0.00876305,0.00876305
48,20482.5,1.48098,0.30102,0.19589,0.51474,0.37224,0.36328,0.19114,0.97078,0.44942,0.11103,0.00871117,0.00871117,0.00871117
49,20908,1.45041,0.30736,0.18863,0.4898,0.34461,0.33371,0.1512,1.08712,0.42194,0.12272,0.00865839,0.00865839,0.00865839
50,21333.8,1.45489,0.30931,0.18829,0.48612,0.34747,0.33973,0.17134,1.03626,0.42877,0.1146,0.00860473,0.00860473,0.00860473
51,21757.9,1.41352,0.32142,0.18091,0.52213,0.37412,0.36452,0.18237,1.00501,0.43564,0.11534,0.00855018,0.00855018,0.00855018
52,22181.9,1.42567,0.31598,0.18703,0.51899,0.377,0.3646,0.1932,0.9592,0.44954,0.11101,0.00849477,0.00849477,0.00849477
53,22607.7,1.43804,0.31087,0.18663,0.50682,0.3753,0.36198,0.18906,0.98051,0.44412,0.11026,0.00843851,0.00843851,0.00843851
54,23032.4,1.40282,0.32517,0.1764,0.48329,0.36058,0.34676,0.17275,1.0243,0.43455,0.11124,0.00838141,0.00838141,0.00838141
55,23457.2,1.45017,0.31018,0.18992,0.51549,0.37131,0.36421,0.19311,0.97754,0.43979,0.11141,0.00832349,0.00832349,0.00832349
56,23881.5,1.4361,0.31403,0.17638,0.51498,0.38221,0.37385,0.19186,0.95784,0.46363,0.10609,0.00826477,0.00826477,0.00826477
57,24307.7,1.44087,0.31093,0.18433,0.51292,0.36276,0.35705,0.17485,0.99966,0.43122,0.11334,0.00820525,0.00820525,0.00820525
58,24733.2,1.43269,0.31577,0.17951,0.50096,0.35603,0.34545,0.16301,1.04947,0.41301,0.11276,0.00814495,0.00814495,0.00814495
