epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.3416,1.4939,1.35714,1.01438,0.43309,0.32309,0.31341,0.17847,1.47666,1.0587,0.95704,0.0033251,0.0033251,0.0033251
2,155.812,1.45289,1.03733,0.97321,0.46211,0.35143,0.34845,0.19845,1.45702,1.02426,0.94516,0.00665803,0.00665803,0.00665803
3,230.847,1.50398,1.05925,0.98326,0.45411,0.33374,0.33293,0.19115,1.4727,1.06891,0.95538,0.00998933,0.00998933,0.00998933
4,305.839,1.50589,1.03711,0.98739,0.44588,0.32753,0.32993,0.18955,1.44162,1.10849,0.95189,0.0099945,0.0099945,0.0099945
5,380.154,1.46204,1.01321,0.97719,0.46481,0.33663,0.33512,0.18981,1.46022,1.07216,0.96019,0.00999023,0.00999023,0.00999023
6,454.26,1.45098,0.9821,0.97326,0.46544,0.35172,0.34943,0.19667,1.45256,0.99775,0.95845,0.00998474,0.00998474,0.00998474
7,528.41,1.43952,0.97027,0.96948,0.46593,0.35429,0.35597,0.20402,1.43757,0.9883,0.95427,0.00997803,0.00997803,0.00997803
8,602.504,1.4074,0.9389,0.96155,0.49873,0.36437,0.36554,0.20745,1.45498,0.99669,0.95269,0.00997011,0.00997011,0.00997011
9,676.586,1.39707,0.93132,0.9571,0.47563,0.36097,0.35952,0.20438,1.41285,1.00196,0.94164,0.00996097,0.00996097,0.00996097
10,751.123,1.39443,0.91785,0.95571,0.49299,0.37152,0.37571,0.21834,1.39716,0.92599,0.93676,0.00995062,0.00995062,0.00995062
11,824.948,1.38376,0.90812,0.95465,0.50657,0.38324,0.39033,0.22574,1.37682,0.91498,0.93277,0.00993906,0.00993906,0.00993906
12,898.773,1.36494,0.89458,0.94917,0.5267,0.38304,0.39008,0.22448,1.37938,0.90719,0.93667,0.00992629,0.00992629,0.00992629
13,972.962,1.37235,0.89169,0.95018,0.51835,0.39043,0.39758,0.22862,1.39242,0.9013,0.93626,0.00991232,0.00991232,0.00991232
14,1047.35,1.36309,0.8811,0.94786,0.51174,0.38687,0.39457,0.22857,1.37188,0.90796,0.93187,0.00989715,0.00989715,0.00989715
15,1121.28,1.35028,0.87241,0.94426,0.51536,0.388,0.39325,0.22551,1.38319,0.92453,0.93263,0.00988079,0.00988079,0.00988079
16,1195.27,1.34008,0.85991,0.94372,0.51261,0.3995,0.40504,0.23487,1.36735,0.89257,0.93214,0.00986323,0.00986323,0.00986323
17,1269.26,1.33873,0.85704,0.94224,0.53657,0.39032,0.4037,0.23615,1.36656,0.88933,0.9289,0.00984449,0.00984449,0.00984449
18,1343,1.33594,0.85244,0.94022,0.51467,0.39384,0.40185,0.23335,1.36019,0.89573,0.92823,0.00982456,0.00982456,0.00982456
19,1417.08,1.333,0.85124,0.93892,0.52485,0.39651,0.40289,0.23408,1.36902,0.87973,0.93066,0.00980345,0.00980345,0.00980345
20,1491.05,1.32561,0.8413,0.93769,0.54841,0.39133,0.40649,0.23635,1.36295,0.87729,0.9277,0.00978118,0.00978118,0.00978118
21,1565.44,1.3203,0.8414,0.93666,0.54976,0.39831,0.41354,0.24086,1.37561,0.86441,0.92918,0.00975773,0.00975773,0.00975773
22,1639.57,1.32356,0.84132,0.93618,0.55309,0.39179,0.40924,0.23896,1.3701,0.87914,0.92833,0.00973312,0.00973312,0.00973312
23,1713.54,1.31458,0.83337,0.93402,0.529,0.4084,0.41645,0.2427,1.36191,0.85302,0.92798,0.00970736,0.00970736,0.00970736
24,1787.48,1.29826,0.81831,0.93152,0.55316,0.40326,0.4219,0.24591,1.36098,0.8593,0.92699,0.00968045,0.00968045,0.00968045
25,1861.39,1.30988,0.82183,0.93313,0.5398,0.40162,0.41511,0.23993,1.37,0.86136,0.92679,0.00965239,0.00965239,0.00965239
