epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3360.92,1.26885,0.78275,0.92223,0.55104,0.41873,0.42881,0.25113,1.34218,0.82452,0.92414,0.00900844,0.00900844,0.00900844
43,3437.31,1.26849,0.78114,0.92462,0.54652,0.41872,0.42881,0.25245,1.33954,0.82883,0.92362,0.00896127,0.00896127,0.00896127
44,3514.23,1.26516,0.77795,0.92367,0.54649,0.41726,0.42891,0.25074,1.34574,0.82252,0.92304,0.00891313,0.00891313,0.00891313
45,3591.23,1.26672,0.77548,0.92294,0.55857,0.41836,0.4343,0.25322,1.35381,0.82288,0.92391,0.00886404,0.00886404,0.00886404
46,3667.22,1.26482,0.77439,0.9223,0.56486,0.41649,0.43369,0.2551,1.32978,0.81477,0.92127,0.00881401,0.00881401,0.00881401
47,3743.79,1.26084,0.77354,0.92168,0.56461,0.42616,0.43901,0.25707,1.33334,0.81833,0.92271,0.00876305,0.00876305,0.00876305
48,3819.89,1.25366,0.76663,0.91967,0.57549,0.42152,0.44064,0.25729,1.34044,0.81174,0.92124,0.00871117,0.00871117,0.00871117
49,3896.94,1.25179,0.76477,0.92042,0.56479,0.41794,0.43376,0.25468,1.33565,0.81555,0.92132,0.00865839,0.00865839,0.00865839
50,3974.6,1.25651,0.76431,0.91956,0.56173,0.42908,0.44121,0.25678,1.34317,0.8093,0.92283,0.00860473,0.00860473,0.00860473
51,4050.4,1.25222,0.76187,0.91902,0.56832,0.42667,0.44256,0.26031,1.33472,0.80901,0.92096,0.00855018,0.00855018,0.00855018
52,4126.03,1.24667,0.75809,0.92014,0.57228,0.42295,0.43829,0.25745,1.33042,0.81204,0.91941,0.00849477,0.00849477,0.00849477
53,4201.85,1.25246,0.76197,0.91888,0.56676,0.4229,0.43871,0.25781,1.32778,0.80797,0.91831,0.00843851,0.00843851,0.00843851
54,4277.75,1.24341,0.75592,0.91799,0.56649,0.4201,0.43853,0.25774,1.33017,0.8048,0.92093,0.00838141,0.00838141,0.00838141
55,4353.88,1.24611,0.75641,0.91961,0.55723,0.42508,0.43801,0.25716,1.33309,0.80804,0.91944,0.00832349,0.00832349,0.00832349
56,4432.83,1.23844,0.7485,0.91683,0.56597,0.42437,0.44011,0.25774,1.32371,0.80586,0.91956,0.00826477,0.00826477,0.00826477
57,4510.38,1.23713,0.75059,0.91593,0.57857,0.41885,0.44186,0.25974,1.32829,0.80489,0.91872,0.00820525,0.00820525,0.00820525
58,4586.42,1.23923,0.74794,0.91534,0.56705,0.42336,0.44113,0.2577,1.33075,0.80463,0.91918,0.00814495,0.00814495,0.00814495
59,4662.79,1.2373,0.74617,0.91576,0.56672,0.42796,0.44358,0.25967,1.32963,0.80371,0.92025,0.00808389,0.00808389,0.00808389
60,4738.36,1.23809,0.74709,0.91611,0.5664,0.42477,0.44101,0.25906,1.32645,0.80031,0.91946,0.00802208,0.00802208,0.00802208
61,4813.58,1.23095,0.74233,0.91471,0.57486,0.42513,0.44231,0.25954,1.32519,0.8022,0.91853,0.00795954,0.00795954,0.00795954
62,4888.99,1.23443,0.74279,0.91606,0.57148,0.4297,0.44667,0.26235,1.32909,0.7974,0.91924,0.00789628,0.00789628,0.00789628
63,4965.25,1.22972,0.73996,0.91289,0.57013,0.43168,0.45035,0.26487,1.31893,0.79009,0.91797,0.00783231,0.00783231,0.00783231
64,5041.54,1.22864,0.73844,0.91286,0.56385,0.42907,0.44375,0.261,1.32178,0.80072,0.91809,0.00776766,0.00776766,0.00776766
65,5118.32,1.23068,0.73731,0.91265,0.57954,0.42559,0.44294,0.25981,1.32733,0.80039,0.91907,0.00770234,0.00770234,0.00770234
66,5194.81,1.22704,0.73369,0.91368,0.58034,0.43505,0.45194,0.26524,1.32585,0.79273,0.91875,0.00763637,0.00763637,0.00763637
67,5271.25,1.22396,0.73285,0.91264,0.56928,0.43479,0.44925,0.26359,1.32523,0.79351,0.91854,0.00756976,0.00756976,0.00756976
68,5347.53,1.22465,0.73516,0.91257,0.58029,0.42794,0.44772,0.26389,1.32258,0.79112,0.91845,0.00750252,0.00750252,0.00750252
69,5423.45,1.22515,0.73269,0.91165,0.58321,0.42791,0.45031,0.26445,1.3274,0.78841,0.9192,0.00743468,0.00743468,0.00743468
70,5500.62,1.22089,0.72636,0.91212,0.57843,0.43162,0.44898,0.26457,1.32344,0.79183,0.9193,0.00736625,0.00736625,0.00736625
71,5577.62,1.2201,0.72791,0.91073,0.58044,0.43003,0.45073,0.266,1.32164,0.79031,0.9178,0.00729725,0.00729725,0.00729725
72,5653.68,1.21244,0.7205,0.911,0.57416,0.43487,0.45282,0.26764,1.31892,0.78939,0.9174,0.0072277,0.0072277,0.0072277
73,5730.02,1.21642,0.72556,0.91133,0.58103,0.43642,0.45278,0.26707,1.32015,0.7862,0.91801,0.00715761,0.00715761,0.00715761
74,5806.93,1.21692,0.72239,0.90925,0.58161,0.43781,0.45645,0.26941,1.31613,0.78189,0.91701,0.007087,0.007087,0.007087
75,5884.01,1.21082,0.72189,0.91127,0.5952,0.43234,0.45756,0.26995,1.31492,0.77807,0.9174,0.00701588,0.00701588,0.00701588
76,5960.41,1.21555,0.72351,0.91156,0.58778,0.43513,0.45501,0.26765,1.3203,0.78453,0.91839,0.00694428,0.00694428,0.00694428
77,6035.54,1.20538,0.71236,0.90778,0.57828,0.43646,0.45491,0.2677,1.32011,0.78288,0.91758,0.00687222,0.00687222,0.00687222
78,6110.87,1.20844,0.71545,0.90768,0.59358,0.42987,0.4516,0.26647,1.31963,0.7864,0.9179,0.0067997,0.0067997,0.0067997
79,6185.49,1.20319,0.70889,0.90708,0.58441,0.43405,0.45473,0.26774,1.32093,0.78163,0.91792,0.00672675,0.00672675,0.00672675
80,6260.72,1.20816,0.71635,0.90761,0.58462,0.43378,0.45288,0.26677,1.3196,0.78428,0.91722,0.00665339,0.00665339,0.00665339
81,6336.86,1.20286,0.71371,0.90802,0.59095,0.43087,0.45418,0.26661,1.32088,0.78455,0.91705,0.00657963,0.00657963,0.00657963
82,6413.52,1.2056,0.71107,0.90775,0.5843,0.43094,0.4545,0.2685,1.31489,0.78307,0.91657,0.0065055,0.0065055,0.0065055
83,6491.37,1.20063,0.70748,0.9064,0.58926,0.43008,0.45606,0.26901,1.31841,0.7832,0.91759,0.00643101,0.00643101,0.00643101
84,6568.26,1.20196,0.70777,0.90639,0.58742,0.43681,0.4569,0.26932,1.31657,0.77995,0.91701,0.00635617,0.00635617,0.00635617
85,6646.06,1.19524,0.7041,0.90599,0.59412,0.43417,0.45689,0.26971,1.31671,0.78037,0.91655,0.00628101,0.00628101,0.00628101
86,6723.98,1.19961,0.70557,0.90721,0.58998,0.43251,0.45628,0.27019,1.31215,0.77786,0.91593,0.00620555,0.00620555,0.00620555
87,6801.67,1.19568,0.70302,0.9055,0.58057,0.43652,0.45542,0.26856,1.31644,0.78051,0.91671,0.00612981,0.00612981,0.00612981
88,6877.52,1.19375,0.69972,0.90545,0.58487,0.43803,0.45579,0.2695,1.31777,0.78119,0.91676,0.0060538,0.0060538,0.0060538
89,6953.5,1.1922,0.70061,0.90675,0.57837,0.43806,0.45445,0.26833,1.31612,0.78126,0.91661,0.00597754,0.00597754,0.00597754
90,7029.23,1.18681,0.695,0.90405,0.5868,0.43858,0.456,0.26876,1.31679,0.78001,0.91706,0.00590105,0.00590105,0.00590105
91,7105.17,1.19298,0.69961,0.90585,0.58532,0.43683,0.45567,0.26908,1.31791,0.78202,0.91732,0.00582435,0.00582435,0.00582435
92,7181.36,1.19108,0.69791,0.90462,0.59228,0.4336,0.45655,0.26996,1.31418,0.78164,0.91675,0.00574746,0.00574746,0.00574746
93,7260.36,1.18904,0.69484,0.90502,0.58987,0.43419,0.45632,0.27051,1.31154,0.77884,0.91617,0.0056704,0.0056704,0.0056704
94,7336.87,1.18439,0.69093,0.90324,0.59145,0.43023,0.45504,0.26987,1.31261,0.78059,0.91603,0.00559318,0.00559318,0.00559318
95,7413.52,1.18696,0.69182,0.90095,0.5857,0.43031,0.453,0.26908,1.31317,0.78142,0.91558,0.00551584,0.00551584,0.00551584
96,7489.93,1.18654,0.69314,0.90387,0.58266,0.43472,0.45544,0.27015,1.31405,0.77753,0.91563,0.00543837,0.00543837,0.00543837
97,7566.27,1.17926,0.68594,0.90052,0.58216,0.43413,0.45492,0.2698,1.31383,0.77741,0.91574,0.00536081,0.00536081,0.00536081
98,7642.28,1.18189,0.68509,0.90229,0.58869,0.43422,0.45503,0.26977,1.3142,0.77874,0.91615,0.00528318,0.00528318,0.00528318
99,7719.2,1.17762,0.68737,0.90159,0.58639,0.43456,0.45518,0.27026,1.31335,0.77877,0.91612,0.00520548,0.00520548,0.00520548
100,7795.67,1.17773,0.68128,0.89987,0.5894,0.43381,0.45565,0.27036,1.31189,0.77651,0.91564,0.00512775,0.00512775,0.00512775
101,7873.25,1.17775,0.68471,0.90077,0.59632,0.43555,0.45706,0.27115,1.31048,0.77661,0.91572,0.00505,0.00505,0.00505
102,7949.61,1.17985,0.68236,0.8997,0.59516,0.43362,0.45818,0.27192,1.31185,0.7762,0.91613,0.00497225,0.00497225,0.00497225
103,8027.52,1.16199,0.67308,0.89802,0.58924,0.4365,0.45809,0.27142,1.31265,0.77617,0.91629,0.00489452,0.00489452,0.00489452
104,8104.09,1.17633,0.6793,0.90048,0.59995,0.43357,0.45771,0.27125,1.31323,0.77663,0.91618,0.00481682,0.00481682,0.00481682
105,8179.91,1.17555,0.68207,0.90058,0.58603,0.43686,0.45826,0.27123,1.31264,0.77697,0.91603,0.00473919,0.00473919,0.00473919
106,8256.61,1.1664,0.67505,0.89939,0.58176,0.43937,0.45783,0.27121,1.31256,0.77684,0.91618,0.00466163,0.00466163,0.00466163
107,8332.73,1.1714,0.6764,0.89883,0.58364,0.43969,0.45889,0.27169,1.31172,0.77534,0.91595,0.00458416,0.00458416,0.00458416
108,8408.85,1.16841,0.67409,0.89897,0.57758,0.44194,0.45887,0.2719,1.31216,0.77447,0.91597,0.00450682,0.00450682,0.00450682
109,8485.15,1.16661,0.67234,0.89788,0.57676,0.44076,0.45867,0.27177,1.31249,0.77602,0.91586,0.0044296,0.0044296,0.0044296
110,8561.43,1.16029,0.66947,0.89743,0.57951,0.44136,0.45855,0.2715,1.31246,0.77639,0.91584,0.00435254,0.00435254,0.00435254
111,8637.75,1.16601,0.67092,0.89715,0.58307,0.44105,0.45889,0.27204,1.31239,0.77574,0.91561,0.00427565,0.00427565,0.00427565
112,8714.3,1.16125,0.66813,0.89578,0.5793,0.4412,0.45854,0.27156,1.31167,0.77588,0.91562,0.00419895,0.00419895,0.00419895
113,8790.89,1.16428,0.67126,0.89729,0.57289,0.44229,0.45877,0.27172,1.31223,0.77655,0.91571,0.00412246,0.00412246,0.00412246
114,8864.74,1.1577,0.66322,0.89663,0.57706,0.44008,0.45797,0.27112,1.31325,0.77748,0.91596,0.0040462,0.0040462,0.0040462
115,8939.07,1.15774,0.66368,0.89649,0.57997,0.43916,0.45773,0.27114,1.31226,0.77664,0.91594,0.00397019,0.00397019,0.00397019
116,9012.88,1.16035,0.66547,0.89811,0.58777,0.43383,0.45715,0.27106,1.31113,0.77745,0.91591,0.00389445,0.00389445,0.00389445
117,9089.52,1.15536,0.66089,0.89573,0.58909,0.43383,0.45744,0.27151,1.31159,0.77727,0.91595,0.00381899,0.00381899,0.00381899
118,9165.94,1.1578,0.6626,0.89485,0.58733,0.43528,0.45758,0.27188,1.31132,0.77712,0.91593,0.00374383,0.00374383,0.00374383
119,9237.48,1.15566,0.66068,0.89539,0.58566,0.43592,0.4577,0.27185,1.31147,0.77651,0.91611,0.00366899,0.00366899,0.00366899
120,9309.94,1.15016,0.65739,0.89361,0.58662,0.43606,0.45735,0.27177,1.3123,0.77711,0.91633,0.0035945,0.0035945,0.0035945
121,9381.18,1.15117,0.65962,0.89464,0.59412,0.43268,0.45691,0.2716,1.31215,0.77702,0.91646,0.00352037,0.00352037,0.00352037
122,9452.6,1.15095,0.65754,0.89398,0.5942,0.43244,0.45687,0.27139,1.31221,0.77696,0.91652,0.00344661,0.00344661,0.00344661
123,9527.17,1.14901,0.65648,0.89425,0.58676,0.43511,0.45724,0.2715,1.3123,0.77685,0.9167,0.00337325,0.00337325,0.00337325
124,9601.18,1.14079,0.65164,0.89257,0.59253,0.4336,0.45767,0.27131,1.31307,0.77733,0.91679,0.0033003,0.0033003,0.0033003
125,9675.23,1.14512,0.65431,0.89292,0.5929,0.4334,0.45729,0.27128,1.31354,0.77763,0.91673,0.00322778,0.00322778,0.00322778
126,9748.08,1.14125,0.64789,0.89126,0.58597,0.43782,0.45789,0.27161,1.3132,0.77761,0.91656,0.00315572,0.00315572,0.00315572
127,9820.54,1.13845,0.65037,0.89174,0.58395,0.43853,0.4577,0.27139,1.31347,0.77772,0.91641,0.00308412,0.00308412,0.00308412
128,9893.26,1.13798,0.64456,0.89229,0.58517,0.43626,0.45776,0.27118,1.3134,0.77812,0.91635,0.003013,0.003013,0.003013
129,9967.58,1.13468,0.64761,0.88996,0.58627,0.43597,0.45758,0.27126,1.31351,0.77855,0.9162,0.00294239,0.00294239,0.00294239
130,10040.2,1.14106,0.64703,0.894,0.58664,0.43577,0.45705,0.27105,1.31375,0.77965,0.91628,0.0028723,0.0028723,0.0028723
